user_id,hidden_time,time_to_completion,reach_end,raw_session_length,session_length,SP,MP,LP,VLP,NARRATIVE_ELEMENT_CHANGE,PLAY_PAUSE_BUTTON_CLICKED,LINK_CHOICE_CLICKED,SUBTITLES_BUTTON_CLICKED,BACK_BUTTON_CLICKED,SEEK_FORWARD_BUTTON_CLICKED,VIDEO_SCRUBBED,WINDOW_ORIENTATION_CHANGE,VOLUME_CHANGE,FULLSCREEN_BUTTON_CLICKED,SEEK_BACKWARD_BUTTON_CLICKED,NEXT_BUTTON_CLICKED,BROWSER_VISIBILITY_CHANGE,USER_SET_VARIABLE,total_events,FA-Score,AE-Score,PU-Score,RW-Score,UES-Score
b603793e-58ae-4fdf-b58b-1e54e919fe0e,0.0,3126.33,True,3565.46,3565.46,2,0,0,1,66,0,35,0,2,0,0,0,0,0,2,0,0,0,105,3.67,4.67,3.33,5.0,4.17
602695c7-589c-4ab5-b78c-535ae4589365,5712.392,2856.4339999999993,True,8804.138,3091.746000000001,6,5,4,10,66,6,30,0,6,0,0,8,0,7,2,14,5,0,144,5.0,5.0,3.33,5.0,4.58
7dbaec68-7ff1-4f69-9305-52f5fb725ce2,0.0,2430.882,True,3635.143,3635.143,0,0,1,0,63,0,31,0,0,0,0,2,0,1,0,0,0,0,97,3.33,4.33,5.0,5.0,4.42
d497f4af-1e32-4924-ac0d-ac3f32a021a2,4311.577000000001,-130.94400000000041,True,4457.196,145.61899999999878,1,0,0,2,59,0,25,0,0,0,1,4,0,2,0,2,12,0,105,1.67,4.33,5.0,5.0,4.0
9b3b0dea-6ea3-4660-be0f-194bf669f493,0.0,1738.33,True,2505.116,2505.116,1,2,0,1,48,0,26,0,0,1,0,3,0,3,0,2,0,0,83,4.0,3.67,5.0,5.0,4.42
84128b16-54e3-4406-8145-023bc9917fe3,121.09299999999999,2988.433,True,3333.641,3212.5480000000002,2,3,1,9,65,8,35,0,4,0,2,11,0,6,0,0,9,0,140,3.0,4.0,4.67,5.0,4.17
f3d33e47-55f5-477c-9b86-702c3bf31493,0.0,4077.712,True,4315.138,4315.138,6,2,0,2,75,0,36,0,6,9,0,1,0,3,0,2,1,0,133,3.67,4.67,2.67,4.33,3.84
f9912b77-ee0a-45b0-80e0-7f2ec9842613,0.0,4245.541,True,4462.873,4462.873,0,0,0,0,73,0,39,0,0,0,0,0,0,0,0,0,1,0,113,4.0,4.33,3.33,4.67,4.08
ba08cb4c-29c0-43d2-b314-2987ab583c10,0.0,3111.799,True,4122.086,4122.086,0,0,0,0,63,0,29,0,0,0,0,1,0,0,0,0,1,0,94,4.0,4.0,4.67,5.0,4.42
6edd505a-910f-4dc4-b164-af2708e5aa5c,69.113,2045.138,True,2342.297,2273.184,1,0,0,0,51,0,26,0,0,0,0,4,0,1,0,0,3,0,85,4.0,4.33,4.33,4.67,4.33
14ef9216-d2a0-49f5-bb2a-4c377b52ff66,0.0,1605.428,True,1850.498,1850.498,0,0,2,2,37,0,16,0,0,0,1,3,0,0,0,6,1,0,64,1.67,2.67,3.67,3.0,2.75
e6d668ae-0f50-4df4-86ab-97c864e4c7f2,0.0,2428.135,True,2695.548,2695.548,0,0,0,0,53,0,29,0,0,0,0,0,0,0,0,0,1,0,83,3.0,2.0,3.0,2.0,2.5
c51fcea3-172c-45fa-927c-8c8c265daa4f,679.109,4307.463,True,5354.686,4675.576999999999,16,5,1,6,87,8,44,0,14,3,1,7,0,0,13,0,5,0,182,2.67,4.33,4.67,4.67,4.08
f5874e8a-90f8-4f41-b278-3c754f515de1,0.0,1827.02,True,2553.788,2553.788,1,4,0,5,40,2,23,0,0,1,4,4,0,2,0,2,1,0,79,4.33,3.67,4.0,4.33,4.08
1e6c8675-ff9a-4d68-bb64-2c81d6565bdc,0.0,2328.47,True,2526.221,2526.221,0,0,0,5,50,2,30,0,0,0,2,0,0,0,0,2,1,0,87,4.0,5.0,4.33,4.33,4.42
7881b5d2-b433-4951-9499-be31fb2b70f7,0.0,2092.549,True,2304.484,2304.484,4,0,1,8,41,4,23,0,0,2,5,0,0,2,0,0,0,0,77,4.67,4.67,4.33,4.67,4.58
3e6220a9-9553-421a-bb75-3bf879f7c9b1,4.731,2559.71,True,3697.173,3692.4419999999996,1,1,2,4,67,0,41,0,0,1,1,3,0,3,0,6,5,0,127,3.67,3.67,4.33,4.0,3.92
2b59433e-0d75-473e-8baa-c2c66b59f0f3,0.0,2177.325,True,2353.697,2353.697,0,0,1,3,53,2,25,0,0,0,0,0,0,2,0,0,0,0,82,4.67,4.67,4.33,4.33,4.5
